id,phone_sequence
fadg0_si1279,DNOHDvGUOHLtnDBMLHDBHgD
fadg0_si1909,DbADStDhJHLnuGDOtnIGDNHDLJubHSMD
fadg0_si649,DHDGEgMIbMwEnADHgTiuLHDBJEgDaMDaHGHLMMGDaADBbMTMOtHDvnJkMbSsDaD
fadg0_sx109,DSJGnHDBHLGDaOAHCTMACDrnULELGDBJDaGntDaD
fadg0_sx19,DEnuwHLsEwGtgQsMDvHLUbHLDNJbnsLDIJLD
fadg0_sx199,DiELDKnDhOHLSzkEglDkHDvGDatSMDBuDvHLDBcDyHIDhHIJIHID
fadg0_sx289,DQseMDaOJbDvEnUSHIMgHOMHiuIbEnHLGJAknD
fadg0_sx379,DaALDrHDGDBOPgHCQsGLIELDeMGDhcID
faks0_si1573,DTHIDvFADBEHLQEGDBJHLELTADrMDhHLHIDNiukHbnDNuDBGDQMQUOLHLSADNJD
faks0_si2203,DeEHMOJILLIgbMeHGDBPDgGJwDbnHSLFD
faks0_si943,DaOHDhEDvSLLcJbUnbUODNntQHDvGDaHDBcSLID
faks0_sx133,DaJDGMOJHIUODvHLJLiHLbMDvQHDvnELDKD
faks0_sx223,DanHDeEDNHDKMDNnUDBcDNnHLeHLDrMUPSID
faks0_sx313,DhOUDBGPDbUOwIHLeEDNUDvGDanEbUOiJuDrtFD
faks0_sx403,DTMQUODhOtDvLGsGEgtwnJGDvMDhGLDNnPDGHGD
faks0_sx43,DAsnenMnJDaJDanUMMOUbLHDvGDvnuDhHDhD
fcal1_si1403,DHHQnQcIDesLDhHeHDacSHLGPDvHDvnDNnPLHGDwALHbHGDBHDGsnbD
fcal1_si2033,DQnzDNJHDvnFUFGtScLDhHmMEnQcHsGDBUOHnPDeHGD
fcal1_si773,DnskUnDaOUDysDvGDBOPGntnJbMGsgOnDhcID
fcal1_sx143,DeHGALDhHDysHLMbMIDNiuenGDvHMeHALntD
fcal1_sx233,DTPQcHLbOJQcwJLHEGcLDmhcAcCD
fcal1_sx323,DeHbUDaMgsLHDeswbMwMOPgHCEULDBPwD
fcal1_sx413,DhAbDLJGDQJkHSDLckEDalLDGDrUObwADKDBMGDvMDBD
fcal1_sx53,DJgLHGHDangnHDvADNiHnJMJDvHLDBcLGHwDNnID
fcmh0_si1454,DEOHDyuEnJDeHwcLDBPDSKJiuHIDhQMgsOJHGDvEwDaHIHSHLIEgDaUnJsGDBMID
fcmh0_si2084,DQEkHDNFkHDBJOuweAsLwLD
fcmh0_si824,DGsgnbMwIswMDKHLDhPIHCHLGIGPLDaOsDaMcSHLmOubJwsLHbgbADSKMHID
fcmh0_sx104,DTJGDBtEnEDhPwDbOEwEgNcDrMD
fcmh0_sx14,DNJbUOmesMHIDhHIHDrIAwDOJgiunsgOJbUOwiHEnED
fcmh0_sx194,DeciHLDylEQPLPDhHSHLD
fcmh0_sx284,DyEbDmeUiuUODriuDhHLbcgMEeHGHLDBHbiuDyDaMDKHGD
fcmh0_sx374,DyULDrnJwIDSsnbeHSbUOnHeHCD
fdac1_si1474,DTFEGDvJiECwALDHTJGADNQHIDwUDhHGDBOcGDID
fdac1_si2104,DTUTgTbFFPFMTJmGUPDcDnUPSDhHEgnEGJDADnPAPGDBD
fdac1_si844,DeFIGDBADLHDvUnEgbHSHLIGJHIHDKcJgDADeJHDvGDaALDBGEgADSKulnncDvGDasHOJHLDBGD
fdac1_sx124,DUDyiMHDGDwckHEDaiJuneMDNiukEbztnD
fdac1_sx214,DeEwULHCDhuQULwHGDaPHkHEQsAsDrQnHzGHLDhHDHLeHGELD
fdac1_sx304,DSKcJJDaGDBUDrJJCIDOULeEgbMGDBPwLeAHDNULD
fdac1_sx34,DhFtLDhuDKAPAnJGDBMHkJDhHSHID
fdac1_sx394,DvFnGJEwcDGDNtLGHLDBJGDBOUCD
fdms0_si1218,DasnHDBGwUOtngMDBQsnPTJwHLDaASLID
fdms0_si1502,DHTHQHILUkHDrIADvnJDaALHDvcDrcbDQcDBuDNHDacDvHDLUDyHGHDaHsMD
fdms0_si1848,DQJDvHLDhPDBuDQHDvHLDhPnPDvOJHnDaJDanD
fdms0_sx138,DeHDvnHLIHDvsGDDwMGDaHnGIHLHDvGDasLGHgDaMHbTHwD
fdms0_sx228,DeHTiuDalDBtDgMIEDmJisEtSHLD
fdms0_sx318,DanJGDhHDwPDvHDBcLHIEDNJbUObOUGDBD
fdms0_sx408,DPDhOPDeHGEDNQcDesFLTAgHLDBHLEgDKcLIyD
fdms0_sx48,DrOUELEeMFDvOuTMUDaOJLJHLDasLHDvsDBGD
fdrw0_si1283,DeHgHCHLHSsnDBtHeHgwckJEnAsDBHOHkJEbUnFADeHDvcIDOADaEDnJsDbMGDBD
fdrw0_si1423,DeADhEULTJDrPUAPAkEDBHDNntD
fdrw0_si653,DSsHnJeHGHIEwJUFEHkJQJUnHDLPUnHDyKD
fdrw0_sx113,DcwsEGDvHnsADhEwHLDHIDrzDhbOHiMDNAbDvD
fdrw0_sx203,DeHDvPIQcHLhHkHDNOEDanJDADeHSEnED
fdrw0_sx23,DetIwJIHSHLIBTUwHLPIDLUgeEnHGnJD
fdrw0_sx293,DvBnJIGDBcDhHIDBMkJDBcDNEDvnUDBHeHDvnJLHIGbMwJD
fdrw0_sx383,DeHDvUDaHDvnJLHSAwDaukUnUOJHLEtOED
fedw0_si1084,DeADaJCDwcDNJDeEbUOwcSHLEtgcScDbnEngDQHDKDAneHScDaGJgUnbD
fedw0_si1653,DTJGDatnDrGtuteHCInJD
fedw0_si1714,DTJMIDQMnUDQzDLUwnnJGDBADaJELD
fedw0_sx184,DecDvADGDwJiUngFDUnQcITMJDhGDwPDiHMID
fedw0_sx274,DvnAbDQEGugDNADNHnnzDKJHOJHGDLEGPUUPDyD
fedw0_sx364,DJDyELDBPwnJHCDvEUwnUGDvtHLGPkHDQHDeHDNOHDhFLDLEgcSTSJkhHCrIGHGDBHwDalDBD
fedw0_sx4,DycwccDMHLwtUOwPLHDNFQMDvHLTUQOHDBD
fedw0_sx94,DiFCrGDBOuGDntFtgDvUwHLDvBvALDhJHIDBOJDBGD
fgjd0_si1179,DTQPDSEeJIEHbsDvGDNJD
fgjd0_si549,DeJIDaOtDrMHLIHLDBHGPIDeJHDvGsDhBHLIGHEgDNPOcSnDvnsGTOuwLIDaJGDEnJD
